ts_utc,venue,kind,symbol,mark,index,last,bid,ask,funding,funding_unit,oi,src_ts
2026-09-13T08:24:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789287872000
2026-09-13T08:24:33Z,lighter,perp,XAU,4353.26,4353.35,4353.47,,,,,4427,
2026-09-13T08:24:33Z,lighter,perp,PAXG,4353.30,4355.83,4352.6,,,,,365.107,
2026-09-13T08:25:32Z,binance,perp,XAUTUSDT,4346.82000000,4348.80094695,,4346.81,4346.82,0.00002974,per_8h,,1789287932000
2026-09-13T08:25:32Z,bybit,perp,XAUTUSDT,4346.51,4349.26,4346.50,4346.50,4346.60,-0.00008776,per_8h,114426117.94,1789300800000
2026-09-13T08:25:32Z,bitget,perp,XAUTUSDT,,,4346.87,4346.71,4346.72,,,,1789287932837
2026-09-13T08:25:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789287932000
2026-09-13T08:25:33Z,lighter,perp,XAU,4353.27,4353.35,4353.47,,,,,4427,
2026-09-13T08:25:33Z,lighter,perp,PAXG,4353.30,4355.83,4352.6,,,,,365.107,
2026-09-13T08:26:32Z,binance,perp,XAUTUSDT,4346.81000000,4348.78441565,,4346.81,4346.82,0.00002953,per_8h,,1789287992000
2026-09-13T08:26:32Z,bybit,perp,XAUTUSDT,4346.50,4349.25,4346.50,4346.50,4346.60,-0.00008953,per_8h,114426332.80,1789300800000
2026-09-13T08:26:33Z,bitget,perp,XAUTUSDT,,,4346.87,4346.71,4346.72,,,,1789287992897
2026-09-13T08:26:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789287992000
2026-09-13T08:26:33Z,lighter,perp,XAU,4353.35,4353.35,4353.47,,,,,4427,
2026-09-13T08:26:33Z,lighter,perp,PAXG,4353.30,4355.82,4352.6,,,,,365.107,
2026-09-13T08:26:33Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-13T08:26:34Z,hyperliquid,perp,PAXG,4354.15,,,4354.1,4354.2,,,,1789287993492
2026-09-13T08:27:32Z,binance,perp,XAUTUSDT,4347.30000000,4348.91263955,,4347.30,4347.31,0.00002935,per_8h,,1789288052000
2026-09-13T08:27:32Z,bybit,perp,XAUTUSDT,4347.10,4349.56,4347.10,4347.10,4347.20,-0.00009209,per_8h,114543598.46,1789300800000
2026-09-13T08:27:33Z,bitget,perp,XAUTUSDT,,,4347.43,4347.39,4347.4,,,,1789288052946
2026-09-13T08:27:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288051000
2026-09-13T08:27:33Z,lighter,perp,XAU,4353.50,4353.36,4353.74,,,,,4427.4708,
2026-09-13T08:27:33Z,lighter,perp,PAXG,4353.84,4356.40,4352.6,,,,,365.107,
2026-09-13T08:28:32Z,binance,perp,XAUTUSDT,4347.59000000,4349.21402348,,4347.58,4347.59,0.00002935,per_8h,,1789288112000
2026-09-13T08:28:32Z,bybit,perp,XAUTUSDT,4347.70,4349.98,4347.70,4347.70,4347.80,-0.00008487,per_8h,114597415.71,1789300800000
2026-09-13T08:28:33Z,bitget,perp,XAUTUSDT,,,4347.43,4347.63,4347.64,,,,1789288113006
2026-09-13T08:28:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288110000
2026-09-13T08:28:33Z,lighter,perp,XAU,4353.75,4353.39,4353.74,,,,,4427.4708,
2026-09-13T08:28:33Z,lighter,perp,PAXG,4353.86,4356.38,4352.6,,,,,365.107,
2026-09-13T08:29:32Z,binance,perp,XAUTUSDT,4347.58830536,4349.32249903,,4347.58,4347.59,0.00002972,per_8h,,1789288172000
2026-09-13T08:29:32Z,bybit,perp,XAUTUSDT,4347.70,4349.98,4347.70,4347.70,4347.80,-0.00007821,per_8h,114598746.11,1789300800000
2026-09-13T08:29:33Z,bitget,perp,XAUTUSDT,,,4347.43,4347.63,4347.64,,,,1789288173034
2026-09-13T08:29:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288171000
2026-09-13T08:29:33Z,lighter,perp,XAU,4353.89,4353.41,4353.97,,,,,4427.4708,
2026-09-13T08:29:33Z,lighter,perp,PAXG,4353.86,4356.27,4352.6,,,,,365.107,
2026-09-13T08:30:32Z,binance,perp,XAUTUSDT,4347.59881784,4349.34088298,,4347.58,4347.59,0.00002996,per_8h,,1789288232000
2026-09-13T08:30:32Z,bybit,perp,XAUTUSDT,4347.80,4350.01,4347.70,4347.70,4347.80,-0.00007324,per_8h,114602025.43,1789300800000
2026-09-13T08:30:33Z,bitget,perp,XAUTUSDT,,,4347.43,4347.54,4347.55,,,,1789288233095
2026-09-13T08:30:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789288230000
2026-09-13T08:30:33Z,lighter,perp,XAU,4353.97,4353.43,4353.97,,,,,4427.4708,
2026-09-13T08:30:33Z,lighter,perp,PAXG,4353.74,4356.17,4352.6,,,,,365.107,
2026-09-13T08:31:32Z,binance,perp,XAUTUSDT,4347.58521053,4349.37609565,,4347.58,4347.59,0.00003012,per_8h,,1789288292000
