ts_utc,open,high,low,close,vol
2026-09-06T08:58:00Z,4433.49,4433.69,4433.49,4433.69,0.4758
2026-09-06T08:59:00Z,4433.69,4433.69,4433.69,4433.69,0
2026-09-06T09:00:00Z,4432.73,4433.32,4432.73,4433.32,0.6779
2026-09-06T09:01:00Z,4433.32,4433.32,4433.32,4433.32,0
2026-09-06T09:02:00Z,4433.32,4433.32,4433.32,4433.32,0
2026-09-06T09:03:00Z,4432.71,4432.71,4432.71,4432.71,0.0058
2026-09-06T09:04:00Z,4432.71,4432.79,4432.71,4432.79,0.0065
2026-09-06T09:05:00Z,4432.79,4432.79,4432.79,4432.79,0
2026-09-06T09:06:00Z,4432.79,4432.79,4432.79,4432.79,0
2026-09-06T09:07:00Z,4432.79,4432.79,4432.79,4432.79,0
2026-09-06T09:08:00Z,4433.47,4433.9,4433.47,4433.69,0.7685
2026-09-06T09:09:00Z,4433.69,4433.69,4433.69,4433.69,0
2026-09-06T09:10:00Z,4433.97,4433.97,4433.97,4433.97,0.3382
2026-09-06T09:11:00Z,4433.97,4438.96,4433.97,4437.31,16.465600000000002
2026-09-06T09:12:00Z,4437.31,4437.31,4436.48,4436.61,3.5807
2026-09-06T09:13:00Z,4436.61,4436.61,4436.29,4436.29,0.0043
2026-09-06T09:14:00Z,4436.29,4436.29,4436.29,4436.29,0
2026-09-06T09:15:00Z,4436.29,4436.29,4436.29,4436.29,0
2026-09-06T09:16:00Z,4436.29,4436.29,4436.29,4436.29,0
2026-09-06T09:17:00Z,4436.17,4437.38,4436.17,4437.38,0.3109
2026-09-06T09:18:00Z,4437.38,4437.38,4437.15,4437.15,0.507
2026-09-06T09:19:00Z,4437.15,4437.15,4436.67,4436.67,0.2
2026-09-06T09:20:00Z,4436.67,4436.67,4436.67,4436.67,0
2026-09-06T09:21:00Z,4436.67,4436.67,4436.67,4436.67,0
2026-09-06T09:22:00Z,4436.67,4436.67,4436.67,4436.67,0
2026-09-06T09:23:00Z,4437.04,4437.04,4437.04,4437.04,0.0376
2026-09-06T09:24:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T09:25:00Z,4436.04,4436.04,4436.02,4436.02,0.1831
2026-09-06T09:26:00Z,4436.02,4436.02,4436.02,4436.02,0
2026-09-06T09:27:00Z,4436.02,4436.02,4436.02,4436.02,0
2026-09-06T09:28:00Z,4435.78,4437.39,4435.78,4435.85,21
2026-09-06T09:29:00Z,4435.85,4435.85,4435.85,4435.85,0
2026-09-06T09:30:00Z,4435.46,4435.46,4435.46,4435.46,1
2026-09-06T09:31:00Z,4435.46,4435.46,4435.46,4435.46,0
2026-09-06T09:32:00Z,4436.38,4436.38,4435.58,4435.58,10.0121
2026-09-06T09:33:00Z,4435.58,4435.58,4435.58,4435.58,0
2026-09-06T09:34:00Z,4435.86,4436.11,4435.86,4436.11,0.0064
2026-09-06T09:35:00Z,4436.11,4436.11,4436.11,4436.11,0.1804
2026-09-06T09:36:00Z,4436.11,4436.11,4435.97,4435.97,0.0219
2026-09-06T09:37:00Z,4435.97,4436.16,4435.4,4435.4,6.7485
2026-09-06T09:38:00Z,4435.4,4435.8,4435.4,4435.8,0.3155
2026-09-06T09:39:00Z,4435.8,4435.83,4435.8,4435.83,0.0045
2026-09-06T09:40:00Z,4435.83,4435.83,4435.83,4435.83,0.0045
2026-09-06T09:41:00Z,4435.83,4435.83,4435.83,4435.83,0.009
2026-09-06T09:42:00Z,4435.83,4436.03,4435.83,4436.03,0.1767
2026-09-06T09:43:00Z,4436.03,4436.03,4435.54,4435.54,0.0184
2026-09-06T09:44:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:45:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:46:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:47:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:48:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:49:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:50:00Z,4435.54,4435.54,4435.54,4435.54,0
2026-09-06T09:51:00Z,4435.74,4435.9,4435.48,4435.48,4
2026-09-06T09:52:00Z,4435.48,4436.35,4435.48,4436.35,3
2026-09-06T09:53:00Z,4436.35,4436.35,4436.12,4436.12,0.0011
2026-09-06T09:54:00Z,4436.12,4436.12,4435.22,4435.22,6.000000000000002
2026-09-06T09:55:00Z,4435.22,4435.78,4435.22,4435.78,0.0044
2026-09-06T09:56:00Z,4435.78,4435.78,4435.78,4435.78,0
2026-09-06T09:57:00Z,4435.78,4435.78,4435.78,4435.78,0
2026-09-06T09:58:00Z,4435.78,4435.78,4435.78,4435.78,0
2026-09-06T09:59:00Z,4435.78,4435.78,4435.78,4435.78,0
2026-09-06T10:00:00Z,4435.6,4435.6,4434.89,4434.89,15.0562
2026-09-06T10:01:00Z,4434.89,4434.89,4434.44,4434.84,5.9487000000000005
2026-09-06T10:02:00Z,4434.84,4434.89,4434.72,4434.72,1.1627
2026-09-06T10:03:00Z,4434.72,4434.94,4434.72,4434.94,0.0849
2026-09-06T10:04:00Z,4434.94,4435.67,4434.82,4435.67,0.5814
2026-09-06T10:05:00Z,4435.67,4435.8,4435.6,4435.6,0.2603
2026-09-06T10:06:00Z,4435.6,4435.6,4435.14,4435.59,0.4861
2026-09-06T10:07:00Z,4435.59,4435.59,4435.59,4435.59,0
2026-09-06T10:08:00Z,4435.6,4435.8,4435.29,4435.77,2.1790000000000003
2026-09-06T10:09:00Z,4435.77,4435.77,4435.77,4435.77,0
2026-09-06T10:10:00Z,4435.77,4435.77,4435.77,4435.77,0
2026-09-06T10:11:00Z,4435.77,4435.77,4435.77,4435.77,0
2026-09-06T10:12:00Z,4435.77,4435.77,4435.77,4435.77,0
2026-09-06T10:13:00Z,4435.77,4435.77,4435.77,4435.77,0
2026-09-06T10:14:00Z,4435.35,4435.35,4435.1,4435.1,1
2026-09-06T10:15:00Z,4435.1,4435.48,4435.1,4435.48,0.0095
2026-09-06T10:16:00Z,4435.48,4435.48,4435.05,4435.13,1.0194
2026-09-06T10:17:00Z,4435.13,4435.42,4435.12,4435.12,0.6092
2026-09-06T10:18:00Z,4435.12,4435.12,4435.12,4435.12,0
2026-09-06T10:19:00Z,4435.12,4435.12,4435.12,4435.12,0
2026-09-06T10:20:00Z,4435.51,4435.51,4435.3,4435.48,0.2694
2026-09-06T10:21:00Z,4435.48,4435.51,4435.32,4435.51,1.2555
2026-09-06T10:22:00Z,4435.51,4435.51,4435.51,4435.51,0
2026-09-06T10:23:00Z,4435.59,4435.59,4435.59,4435.59,0.009
2026-09-06T10:24:00Z,4435.59,4435.59,4435.59,4435.59,0
2026-09-06T10:25:00Z,4435.37,4435.37,4435.35,4435.35,0.4476
2026-09-06T10:26:00Z,4435.35,4435.41,4435.27,4435.41,1.0019
2026-09-06T10:27:00Z,4435.41,4435.41,4434.71,4434.71,9.695
2026-09-06T10:28:00Z,4434.71,4434.71,4434.71,4434.71,0
2026-09-06T10:29:00Z,4434.71,4434.71,4434.71,4434.71,0
2026-09-06T10:30:00Z,4434.8,4434.8,4434.8,4434.8,0.0019
2026-09-06T10:31:00Z,4434.8,4434.8,4434.44,4434.44,0.0043
2026-09-06T10:32:00Z,4434.44,4434.44,4434.44,4434.44,0
2026-09-06T10:33:00Z,4434.65,4435.09,4434.65,4435.09,0.883
2026-09-06T10:34:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:35:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:36:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:37:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:38:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:39:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:40:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:41:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:42:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:43:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:44:00Z,4435.09,4435.09,4435.09,4435.09,0
2026-09-06T10:45:00Z,4434.74,4434.74,4434.46,4434.46,0.766
2026-09-06T10:46:00Z,4434.46,4434.46,4434.46,4434.46,0
2026-09-06T10:47:00Z,4434.46,4434.46,4434.46,4434.46,0
2026-09-06T10:48:00Z,4434.34,4434.88,4434.34,4434.88,0.8283
2026-09-06T10:49:00Z,4434.88,4434.88,4434.88,4434.88,0
2026-09-06T10:50:00Z,4434.74,4434.74,4434.74,4434.74,0.0019
2026-09-06T10:51:00Z,4434.74,4434.74,4434.74,4434.74,0
2026-09-06T10:52:00Z,4434.74,4434.74,4434.74,4434.74,0
2026-09-06T10:53:00Z,4434.74,4434.74,4434.74,4434.74,0
2026-09-06T10:54:00Z,4434.48,4434.48,4434.48,4434.48,0.0019
2026-09-06T10:55:00Z,4434.48,4434.52,4434.48,4434.52,0.0477
2026-09-06T10:56:00Z,4434.52,4434.72,4434.36,4434.72,0.2797
2026-09-06T10:57:00Z,4434.72,4435.03,4434.72,4435.03,2.5378
2026-09-06T10:58:00Z,4435.03,4435.03,4434.94,4434.94,0.0043
2026-09-06T10:59:00Z,4434.94,4434.94,4434.94,4434.94,0
2026-09-06T11:00:00Z,4435.48,4435.97,4435.45,4435.46,4.07
2026-09-06T11:01:00Z,4435.46,4435.67,4435.46,4435.67,0.1804
2026-09-06T11:02:00Z,4435.67,4435.83,4435.61,4435.61,0.21900000000000003
2026-09-06T11:03:00Z,4435.61,4435.7,4435.61,4435.69,0.6419
2026-09-06T11:04:00Z,4435.69,4435.72,4435.69,4435.72,0.169
2026-09-06T11:05:00Z,4435.72,4435.72,4435.72,4435.72,0
2026-09-06T11:06:00Z,4435.72,4435.72,4435.72,4435.72,0
2026-09-06T11:07:00Z,4435.72,4435.72,4435.72,4435.72,0
2026-09-06T11:08:00Z,4435.72,4435.72,4435.72,4435.72,0
2026-09-06T11:09:00Z,4435.72,4435.72,4435.72,4435.72,0
2026-09-06T11:10:00Z,4435.64,4435.64,4435.59,4435.59,0.0168
2026-09-06T11:11:00Z,4435.59,4435.59,4435.59,4435.59,0
2026-09-06T11:12:00Z,4435.83,4436.44,4435.83,4436.44,0.2147
2026-09-06T11:13:00Z,4436.44,4436.44,4436.44,4436.44,0
2026-09-06T11:14:00Z,4436.44,4436.44,4436.44,4436.44,0
2026-09-06T11:15:00Z,4436.44,4436.44,4436.44,4436.44,0
2026-09-06T11:16:00Z,4435.52,4435.52,4435.52,4435.52,0.1
2026-09-06T11:17:00Z,4435.52,4435.52,4435.52,4435.52,0.1
2026-09-06T11:18:00Z,4435.52,4435.52,4435.52,4435.52,0
2026-09-06T11:19:00Z,4435.52,4435.52,4435.52,4435.52,0
2026-09-06T11:20:00Z,4435.52,4435.52,4435.52,4435.52,0
2026-09-06T11:21:00Z,4435.3,4435.3,4434.31,4434.31,8.011899999999999
2026-09-06T11:22:00Z,4434.31,4435.21,4434.31,4435.21,0.1804
2026-09-06T11:23:00Z,4435.21,4435.21,4435.19,4435.19,0.1691
2026-09-06T11:24:00Z,4435.19,4435.19,4435.19,4435.19,0
2026-09-06T11:25:00Z,4435.31,4435.31,4435.31,4435.31,0.0219
2026-09-06T11:26:00Z,4435.31,4435.34,4435.31,4435.34,0.0119
2026-09-06T11:27:00Z,4435.34,4435.34,4435.34,4435.34,0
2026-09-06T11:28:00Z,4435.34,4435.34,4435.34,4435.34,0
2026-09-06T11:29:00Z,4435.34,4435.34,4435.34,4435.34,0
2026-09-06T11:30:00Z,4433.83,4433.84,4433.83,4433.84,1.0096
2026-09-06T11:31:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:32:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:33:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:34:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:35:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:36:00Z,4433.84,4433.84,4433.84,4433.84,0
2026-09-06T11:37:00Z,4435.03,4435.03,4435.03,4435.03,0.0878
2026-09-06T11:38:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:39:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:40:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:41:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:42:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:43:00Z,4435.03,4435.03,4435.03,4435.03,0
